lang,iso_code,wals_code,script,variety,name,family,genus,d_gen,d_geo,d_syn,d_inv,d_pho,d_fea,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,ttr_flores,rttr_flores,cttr_flores,mattr_flores,ttr_ud,ttr_sd,msp_ud,msp_sd,ws_ud,ws_sd,wh_ud,wh_sd,lh_ud,lh_sd,is_ud,is_sd,mfh_ud,mfh_sd,-ia_ud,-ia_sd,h_dep_avg,h_codep_avg,train_frac_estimate
cmn_Hant,cmn,mnd,Hant,taib1240,Mandarin Chinese (Taiwanese),Sino-Tibetan,Chinese,1.0,0.4,0.55,0.5926,0.39,0.6,7.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.276319572807558,43.11382337808192,30.48607687352083,0.6014526545332392,0.3006155,0.003523320132,1.000835208,0.0001153559631,0.5520700313,0.008997585952,10.78694394,0.02728879498,10.77949026,0.0235474244,1.0,0.0,2.741359573,0.1482558246,-0.998998999,0.0,,,0.0
crh_Latn,crh,cri,Latn,crim1257,Crimean Tatar,Altaic,Turkic,1.0,0.1,0.57,0.5983,0.805,0.9,,,,,,,,,,,,,0.4502522585943916,58.785083862421736,41.56733143173829,0.7584797244213408,,,,,,,,,,,,,,,,,,,0.0006967565902634
cym_Latn,cym,wel,Latn,wels1247,Welsh,Indo-European,Celtic,0.9,0.0,0.57,0.5983,0.5687,0.8,,,,,,,,,2.0,3.0,,,0.2226671672298001,34.476040066583536,24.37824171954033,0.5515587458464848,,,,,,,,,,,,,,,,,,,0.0035873129204666
dan_Latn,dan,dsh,Latn,dani1285,Danish,Indo-European,Germanic,0.7,0.0,0.5,0.5983,0.5687,0.7,,,,,,,,,2.0,,,,0.2673973272490221,41.89186864697411,29.622024396851515,0.5510269910584462,,,,,,,,,,,,,,,,,0.4537831717972017,0.5687595097933965,0.0
deu_Latn,deu,ger,Latn,stan1295,German,Indo-European,Germanic,0.4286,0.1,0.42,0.4364,0.3277,0.4,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,0.2808970828843928,44.46610581581483,31.44228495532124,0.5721811889250759,,,,,,,,,,,,,,,,,0.5519564383964074,0.6136455718816275,0.0
dgo_Deva,dgo,dgi,Deva,dogr1250,Dogri,Indo-European,Indic,0.9,0.3,0.9,0.5983,0.5687,0.9,,,,,,,,,,,,,0.2371175850036517,37.22519532200389,26.322188043182702,0.5896990102290058,,,,,,,,,,,,,,,,,,,0.0
dik_Latn,dik,,Latn,sout2832,Southwestern Dinka,Eastern Sudanic,Eastern Nilotic,1.0,0.3,0.57,0.5983,0.5687,0.6,,,,,,,,,,,,,0.2031375703942075,30.385197999053307,21.48557955282651,0.4999873828571406,,,,,,,,,,,,,,,,,,,0.0003678892228702
dyu_Latn,dyu,dyu,Latn,dyul1238,Dyula,Mande,Western Mande,1.0,0.2,0.57,0.4752,0.5687,0.6,,,,,,,,,,,,,0.3054396903891636,46.57830096551643,32.93583246886459,0.6286529267006539,,,,,,,,,,,,,,,,,,,0.0007132496292114
dzo_Tibt,dzo,,Tibt,dzon1239,Dzongkha,Eastern Sudanic,Eastern Nilotic,1.0,0.4,0.57,0.5983,0.5687,0.6,,,,,,,,,,,,,0.9010471998785856,73.14039393986857,51.71806853353653,0.9466778325123222,,,,,,,,,,,,,,,,,,,1.1725830432160371e-05
ekk_Latn,ekk,est,Latn,esto1258,Estonian,Uralic,Finnic,1.0,0.1,0.69,0.5983,0.5687,0.8,,,,,,,,,2.0,,,,0.4138204924543288,58.73336041041143,41.53075742807543,0.664416798167491,0.4908085,0.004143989955,1.471287946,0.004032261988,0.4581399005,0.005388463061,11.89101568,0.02754823649,10.86535025,0.03447262611,9.93,0.4063249931,3.704047588,0.6488342858,-0.1770093447,0.0,,,0.0
ell_Grek,ell,grk,Grek,mode1248,Greek,Indo-European,Greek,0.8333,0.1,0.52,0.5516,0.195,0.5,1.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,0.2950345981294198,47.84839058405515,33.833921450847946,0.5815503623609624,0.2487795,0.003433846932,1.613331432,0.004359958489,0.5169611596,0.007327460445,9.696859999,0.02057792113,8.351142064,0.02188137361,9.0,0.0,3.668587514,0.509442181,-0.3470446494,0.0,0.4151166361668909,0.6754410575827845,0.0
eng_Latn,eng,eng,Latn,stan1293,English,Indo-European,Germanic,0.0,0.0,0.0,0.0,0.0002,0.0,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,0.2335391771593552,36.87996973664817,26.07807669073857,0.5436593150292637,0.21322975,0.00280262133025,1.1999853225,0.003989466543,0.3447120456,0.0072129421485,9.6080137905,0.0268911208775,9.191172055,0.02551200588,6.1375,0.2363814489,3.72410539275,0.361524383475,-0.67024734315,0.0,0.3612439683565323,0.3844439063173674,0.3289541778517688
epo_Latn,epo,,Latn,espe1235,Esperanto,Eastern Sudanic,Eastern Nilotic,1.0,0.0,0.73,0.5983,0.5687,0.8,,,,,,,,,,,,,0.3344983031960695,47.00028504495311,33.234220272987024,0.6157938058615605,,,,,,,,,,,,,,,,,,,0.014942533917982
eus_Latn,eus,bsq,Latn,basq1248,Basque,Basque,Basque,1.0,0.1,0.61,0.6205,0.3498,0.6,1.0,1.0,1.0,3.0,3.0,2.0,5.0,2.0,4.0,1.0,2.0,3.0,0.3450618122537698,51.27739277082763,36.25859214981827,0.6301535396590038,0.3767215,0.003945125188,1.779372454,0.004188887633,0.5698891725,0.00639943772,11.32465899,0.02550663366,9.678489659,0.02305751699,19.13,1.411771936,3.76816246,0.7769198296,-0.3170176164,0.0,0.6524873930407307,0.8742562979384555,0.0
ewe_Latn,ewe,ewe,Latn,ewee1241,Ewe,Niger-Congo,Gbe,1.0,0.3,0.66,0.5249,0.3695,0.6,,,,,4.0,2.0,5.0,1.0,4.0,1.0,1.0,2.0,0.1974485116317852,30.57966891724197,21.623091257821287,0.5072291906160753,,,,,,,,,,,,,,,,,,,0.0024143425780275
fao_Latn,fao,far,Latn,faro1244,Faroese,Indo-European,Germanic,0.7,0.1,0.61,0.5983,0.5687,0.8,,,,,,,,,,,,,0.2794075877459931,43.86343179938055,31.01613007145563,0.5519764764350272,,,,,,,,,,,,,,,,,,,0.0005360801101878
fij_Latn,fij,fij,Latn,fiji1243,Fijian,Austronesian,Oceanic,1.0,0.8,0.66,0.5233,0.4638,0.6,2.0,5.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0.1187940761636107,20.00543032766865,14.145975445249515,0.3820318007250325,,,,,,,,,,,,,,,,,,,0.0012372760539751
fil_Latn,fil,,Latn,fili1244,Filipino,Eastern Sudanic,Eastern Nilotic,1.0,0.6,0.57,0.458,0.5687,0.6,,,,,,,,,,,,,0.2273790178748365,36.11749472967273,25.53892544282097,0.4956520297590085,,,,,,,,,,,,,,,,,,,0.0
fin_Latn,fin,fin,Latn,finn1318,Finnish,Uralic,Finnic,1.0,0.1,0.53,0.4694,0.2736,0.5,1.0,2.0,1.0,2.0,2.0,3.0,5.0,2.0,2.0,3.0,3.0,3.0,0.4636064180214642,63.60369174548988,44.97460174173473,0.6907436555149258,0.49185625,0.0045681495215,1.6473674535,0.0041420045035,0.51525612905,0.0061992570845,11.9248204,0.02699064425,10.52468358,0.03468530106,16.645,0.3949820872999999,3.7842248115,0.76835147515,-0.18550286815,0.0,0.5589332145876035,0.686841632123994,0.0
fon_Latn,fon,fon,Latn,fonn1241,Fon,Niger-Congo,Gbe,1.0,0.3,0.65,0.492,0.5687,0.6,,,,,,,,,,,,,0.1763473362415415,30.08932076774208,21.27636275616764,0.4484324456559665,,,,,,,,,,,,,,,,,,,0.0011371548285524
fra_Latn,fra,fre,Latn,stan1290,French,Indo-European,Romance,0.9,0.0,0.46,0.4753,0.427,0.5,1.0,5.0,2.0,3.0,4.0,2.0,5.0,2.0,2.0,3.0,3.0,2.0,0.2188639383923399,37.49350712182043,26.51191313630534,0.5282185246811001,0.254833,0.0033324219935,1.259284245,0.0041378975725,0.44809908045,0.007850307575,9.450808215,0.025368553565,8.647569557499999,0.028037943415,6.5,0.0,3.3477259725,0.26886062565,-0.5554926184,0.0,0.4039850921398672,0.4972663586153365,0.0224653116736396
fur_Latn,fur,,Latn,east2271,Friulian,Eastern Sudanic,Eastern Nilotic,0.9,0.1,0.57,0.4724,0.5687,0.6,,,,,,,,,,,,,0.2229600763480197,35.357278572923946,25.00137144321633,0.5260864943811236,,,,,,,,,,,,,,,,,,,0.000176528578925
fuv_Latn,fuv,fni,Latn,nige1253,Nigerian Fulfulde,Niger-Congo,Peul-Serer,1.0,0.2,1.0,0.4694,0.5687,0.6,,,,,,,,,,,,,0.2453746530989824,36.07925352179701,25.51188482541129,0.5797053169831007,,,,,,,,,,,,,,,,,,,0.0014414518530033
gaz_Latn,gaz,owc,Latn,west2721,West Central Oromo,Afro-Asiatic,Lowland East Cushitic,1.0,0.3,0.91,0.5983,0.5687,0.9,,,,,,,,,,,,,0.4198963618698046,57.15219854900781,40.41270715372338,0.759003494757849,,,,,,,,,,,,,,,,,,,0.0015867023727812
gla_Latn,gla,gae,Latn,scot1245,Scottish Gaelic,Indo-European,Celtic,0.9,0.0,0.55,0.5983,0.5687,0.7,,,,,,,,,3.0,3.0,,,0.2103253458016754,33.69475057983727,23.825786625392286,0.549994993244874,,,,,,,,,,,,,,,,,,,0.0014916164019469
gle_Latn,gle,iri,Latn,iris1253,Irish,Indo-European,Celtic,0.9,0.0,0.62,0.5193,0.5687,0.6,,,,,,,,,4.0,3.0,3.0,2.0,0.2248248457596988,38.08044452406061,26.926940553561383,0.5455197587797185,,,,,,,,,,,,,,,,,0.3806442227561202,0.2954942567819,0.004251864048641
glg_Latn,glg,glc,Latn,gali1258,Galician,Indo-European,Romance,0.9,0.1,0.67,0.4997,0.5687,0.6,,,,,,,,,,,,,0.2772361359570662,41.455841648648914,29.313706749555347,0.594510132198873,,,,,,,,,,,,,,,,,0.4454099987044514,0.590367762152982,0.0206896521366961
gom_Deva,gom,,Deva,goan1235,Goan Konkani,Eastern Sudanic,Eastern Nilotic,0.9,0.4,0.57,0.5983,0.5687,0.6,,,,,,,,,,,,,0.4357761107905366,57.36707408165535,40.564647099969534,0.7844202958826091,,,,,,,,,,,,,,,,,,,0.0
gug_Latn,gug,gua,Latn,para1311,Paraguayan Guaraní,Tupian,Maweti-Guarani,1.0,0.5,0.71,0.522,0.4638,0.6,1.0,5.0,1.0,3.0,1.0,1.0,1.0,2.0,6.0,,1.0,3.0,0.3730949925518506,49.29091794131705,34.853942327214945,0.6552701857859135,,,,,,,,,,,,,,,,,,,0.0
guj_Gujr,guj,guj,Gujr,guja1252,Gujarati,Indo-European,Indic,0.9,0.3,0.68,0.4753,0.5687,0.6,,,,,,,,,,,,,0.3366774207804835,50.643939336368014,35.810672930745966,0.6668228488792645,,,,,,,,,,,,,,,,,,,0.0163961510511009
hat_Latn,hat,hcr,Latn,hait1244,Haitian Creole,other,Creoles and Pidgins,0.9,0.4,0.65,0.5983,0.5687,0.8,,,,,,,,,,,,,0.1934686025740851,28.586909194121272,20.21399734432721,0.5250773413330904,,,,,,,,,,,,,,,,,,,0.00357963422104
hau_Latn,hau,hau,Latn,haus1257,Hausa,Afro-Asiatic,West Chadic,1.0,0.2,0.45,0.5337,0.427,0.5,2.0,5.0,1.0,4.0,3.0,2.0,5.0,2.0,1.0,1.0,4.0,1.0,0.189664490915894,29.41512208980797,20.799632299133425,0.5653918655005684,,,,,,,,,,,,,,,,,,,0.0036786154301055
heb_Hebr,heb,heb,Hebr,hebr1245,Hebrew,Afro-Asiatic,Semitic,1.0,0.2,0.52,0.5549,0.5687,0.6,6.0,5.0,3.0,3.0,2.0,2.0,5.0,2.0,3.0,1.0,1.0,2.0,0.4109269430807369,58.94044771465983,41.67719026520712,0.6845379097339904,0.265816,0.002916649448,1.404472533,0.004894390514,0.188939859,0.008729938803,9.489467886,0.0268604452,8.799549238,0.02686774285,12.0,0.0,3.582896654,0.4987717643,-0.4390258522,0.0,0.3585033523111254,0.6188741742433425,0.0
hin_Deva,hin,hin,Deva,hind1269,Hindi,Indo-European,Indic,0.9,0.4,0.59,0.4684,0.3433,0.5,1.0,1.0,2.0,2.0,3.0,2.0,5.0,2.0,2.0,1.0,3.0,2.0,0.1940029667302394,32.64442213072864,23.08309225655442,0.5288203487327059,0.2209145,0.002932237158,1.197362476,0.004518716303,0.2165604927,0.00535206021,9.677578621,0.02597274565,9.024242814,0.03088907657,10.48,0.4995998399,3.386435367,0.3419674023,-0.6769703836,0.0,0.1624120983654735,0.4975648564156359,0.0368332622130518
hne_Deva,hne,,Deva,chha1249,Chhattisgarhi,Eastern Sudanic,Eastern Nilotic,0.9,0.4,0.57,0.5983,0.5687,0.6,,,,,,,,,,,,,0.2446123821783,37.96065783692856,26.842238574794443,0.5650091587516978,,,,,,,,,,,,,,,,,,,0.000416526091545
hrv_Latn,hrv,,Latn,croa1245,Croatian,Eastern Sudanic,Eastern Nilotic,0.9,0.1,0.79,0.5093,0.5687,0.6,,,,,,,,,,,,,0.3687464123283437,55.49235343138727,39.23901941533452,0.6283555174282113,,,,,,,,,,,,,,,,,0.436273591925776,0.734685908968786,0.0
hun_Latn,hun,hun,Latn,hung1274,Hungarian,Uralic,Ugric,1.0,0.1,0.6,0.4581,0.3433,0.5,1.0,1.0,1.0,3.0,2.0,1.0,5.0,2.0,2.0,1.0,4.0,3.0,0.3828096621867054,56.81081113569945,40.171309798761314,0.6165448548199659,0.348783,0.004860597803,1.391733545,0.004667974766,0.5965972903,0.007500796436,10.77446023,0.02264205279,10.17339126,0.02637111889,8.0,0.0,3.72509046,0.6553107254,-0.3979728231,0.0,0.4268370635128947,0.7945119563162655,0.0
